Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2514","Maize and products","2013","2013","1000 tonnes","122690","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2514","Maize and products","2013","2013","1000 tonnes","-55136","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2514","Maize and products","2013","2013","1000 tonnes","128786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2514","Maize and products","2013","2013","1000 tonnes","955798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2514","Maize and products","2013","2013","1000 tonnes","546110","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2514","Maize and products","2013","2013","1000 tonnes","6838","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2514","Maize and products","2013","2013","1000 tonnes","40703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2514","Maize and products","2013","2013","1000 tonnes","47649","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2514","Maize and products","2013","2013","1000 tonnes","189390","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2514","Maize and products","2013","2013","1000 tonnes","125181","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2013","2013","kg","17.89","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2514","Maize and products","2013","2013","kcal/capita/day","147","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2013","2013","g/capita/day","3.58","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2013","2013","g/capita/day","1.26","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2515","Rye and products","2013","2013","1000 tonnes","16711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2515","Rye and products","2013","2013","1000 tonnes","2256","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2515","Rye and products","2013","2013","1000 tonnes","-23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2515","Rye and products","2013","2013","1000 tonnes","2374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2515","Rye and products","2013","2013","1000 tonnes","16570","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2515","Rye and products","2013","2013","1000 tonnes","8099","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2515","Rye and products","2013","2013","1000 tonnes","1264","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2515","Rye and products","2013","2013","1000 tonnes","562","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2515","Rye and products","2013","2013","1000 tonnes","1120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2515","Rye and products","2013","2013","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2515","Rye and products","2013","2013","1000 tonnes","5505","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2013","2013","kg","0.79","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2515","Rye and products","2013","2013","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2013","2013","g/capita/day","0.16","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2515","Rye and products","2013","2013","g/capita/day","0.03","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2516","Oats","2013","2013","1000 tonnes","23813","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2516","Oats","2013","2013","1000 tonnes","3712","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2516","Oats","2013","2013","1000 tonnes","-578","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2516","Oats","2013","2013","1000 tonnes","3538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2516","Oats","2013","2013","1000 tonnes","23410","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2516","Oats","2013","2013","1000 tonnes","16252","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2516","Oats","2013","2013","1000 tonnes","2487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2516","Oats","2013","2013","1000 tonnes","520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2516","Oats","2013","2013","1000 tonnes","36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2516","Oats","2013","2013","1000 tonnes","207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2516","Oats","2013","2013","1000 tonnes","3909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2516","Oats","2013","2013","kg","0.56","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2516","Oats","2013","2013","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2516","Oats","2013","2013","g/capita/day","0.13","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2516","Oats","2013","2013","g/capita/day","0.05","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2517","Millet and products","2013","2013","1000 tonnes","28909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2517","Millet and products","2013","2013","1000 tonnes","349","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2517","Millet and products","2013","2013","1000 tonnes","933","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2517","Millet and products","2013","2013","1000 tonnes","279","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2517","Millet and products","2013","2013","1000 tonnes","29913","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2517","Millet and products","2013","2013","1000 tonnes","3311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2517","Millet and products","2013","2013","1000 tonnes","684","A","Aggregate, may include official, semi-official, estimated or calculated data"
