,ctry_cd,country,item_cd,item,origin,population,Food supply (kcal/ctry/y)
2655,44,Colombia,2732,Mutton & Goat Meat,animal,48321000,17637165000.0
2656,44,Colombia,2733,Pigmeat,animal,48321000,687849435000.0
2657,44,Colombia,2734,Poultry Meat,animal,48321000,1675530675000.0
2658,44,Colombia,2735,"Meat, Other",animal,48321000,0.0
2659,44,Colombia,2736,"Offals, Edible",animal,48321000,141097320000.0
2660,44,Colombia,2737,"Fats, Animals, Raw",animal,48321000,352743300000.0
2661,44,Colombia,2740,"Butter, Ghee",animal,48321000,141097320000.0
2662,44,Colombia,2743,Cream,animal,48321000,0.0
2663,44,Colombia,2744,Eggs,animal,48321000,670212270000.0
2664,44,Colombia,2745,Honey,vegetal,48321000,0.0
2665,44,Colombia,2761,Freshwater Fish,animal,48321000,88185825000.0
2666,44,Colombia,2762,Demersal Fish,animal,48321000,0.0
2667,44,Colombia,2763,Pelagic Fish,animal,48321000,123460155000.0
2668,44,Colombia,2764,"Marine Fish, Other",animal,48321000,0.0
2669,44,Colombia,2765,Crustaceans,animal,48321000,0.0
2670,44,Colombia,2766,Cephalopods,animal,48321000,0.0
2671,44,Colombia,2767,"Molluscs, Other",animal,48321000,0.0
2672,44,Colombia,2769,"Aquatic Animals, Others",animal,48321000,0.0
2673,44,Colombia,2775,Aquatic Plants,animal,48321000,0.0
2674,44,Colombia,2781,"Fish, Body Oil",animal,48321000,0.0
2675,44,Colombia,2782,"Fish, Liver Oil",animal,48321000,0.0
2676,44,Colombia,2805,Rice (Milled Equivalent),vegetal,48321000,5026592025000.0
2677,44,Colombia,2848,Milk - Excluding Butter,animal,48321000,3157052535000.0
2678,44,Colombia,2899,Miscellaneous,vegetal,48321000,17637165000.0
2679,46,Congo,2511,Wheat and products,vegetal,4448000,514655840000.0
2680,46,Congo,2513,Barley and products,vegetal,4448000,37340960000.0
2681,46,Congo,2514,Maize and products,vegetal,4448000,55199680000.0
2682,46,Congo,2515,Rye and products,vegetal,4448000,0.0
2683,46,Congo,2516,Oats,vegetal,4448000,1623520000.0
2686,46,Congo,2520,"Cereals, Other",vegetal,4448000,0.0
2687,46,Congo,2531,Potatoes and products,vegetal,4448000,6494080000.0
2688,46,Congo,2532,Cassava and products,vegetal,4448000,1164063840000.0
2689,46,Congo,2533,Sweet potatoes,vegetal,4448000,8117600000.0
2690,46,Congo,2534,"Roots, Other",vegetal,4448000,45458560000.0
2691,46,Congo,2535,Yams,vegetal,4448000,14611680000.0
2692,46,Congo,2536,Sugar cane,vegetal,4448000,1623520000.0
2693,46,Congo,2542,Sugar (Raw Equivalent),vegetal,4448000,275998400000.0
2694,46,Congo,2543,"Sweeteners, Other",vegetal,4448000,1623520000.0
2695,46,Congo,2546,Beans,vegetal,4448000,29223360000.0
2696,46,Congo,2547,Peas,vegetal,4448000,19482240000.0
2697,46,Congo,2549,"Pulses, Other and products",vegetal,4448000,0.0
2698,46,Congo,2551,Nuts and products,vegetal,4448000,0.0
2699,46,Congo,2555,Soyabeans,vegetal,4448000,0.0
2700,46,Congo,2556,Groundnuts (Shelled Eq),vegetal,4448000,73058400000.0
2701,46,Congo,2558,Rape and Mustardseed,vegetal,4448000,0.0
2702,46,Congo,2560,Coconuts - Incl Copra,vegetal,4448000,6494080000.0
2703,46,Congo,2561,Sesame seed,vegetal,4448000,1623520000.0
2704,46,Congo,2562,Palm kernels,vegetal,4448000,24352800000.0
2705,46,Congo,2563,Olives (including preserved),vegetal,4448000,0.0
2706,46,Congo,2570,"Oilcrops, Other",vegetal,4448000,14611680000.0
2707,46,Congo,2571,Soyabean Oil,vegetal,4448000,6494080000.0
2708,46,Congo,2572,Groundnut Oil,vegetal,4448000,24352800000.0
2709,46,Congo,2573,Sunflowerseed Oil,vegetal,4448000,0.0
2710,46,Congo,2574,Rape and Mustard Oil,vegetal,4448000,0.0
